command	aliases	provider	http_method	endpoint	request_body	target_fields	required_capability	required_permissions	operation_class	reversible	idempotent	async_task	guest_disruption	data_loss_risk	host_or_cluster_risk	retry_policy	confirmation_policy	dry_run_behavior	success_criteria	unknown_outcome_behavior	recovery	source_locations	test_locations
VMSnapshotCreate		proxmox	POST	/nodes/{node}/qemu/{vmid}/snapshot	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:845	client/provider/cli tests; see coverage ledger and test matrix
VMSnapshotDelete		proxmox	DELETE	/nodes/{node}/qemu/{vmid}/snapshot/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:869	client/provider/cli tests; see coverage ledger and test matrix
VMSnapshotRollback		proxmox	POST	/nodes/{node}/qemu/{vmid}/snapshot/{name}/rollback	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:888	client/provider/cli tests; see coverage ledger and test matrix
CTSnapshotCreate		proxmox	POST	/nodes/{node}/lxc/{vmid}/snapshot	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:907	client/provider/cli tests; see coverage ledger and test matrix
CTSnapshotDelete		proxmox	DELETE	/nodes/{node}/lxc/{vmid}/snapshot/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:931	client/provider/cli tests; see coverage ledger and test matrix
CTSnapshotRollback		proxmox	POST	/nodes/{node}/lxc/{vmid}/snapshot/{name}/rollback	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:950	client/provider/cli tests; see coverage ledger and test matrix
VMCloudInit		proxmox	POST	/nodes/{node}/qemu/{vmid}/cloudinit	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:969	client/provider/cli tests; see coverage ledger and test matrix
VMTemplate		proxmox	POST	/nodes/{node}/qemu/{vmid}/template	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:985	client/provider/cli tests; see coverage ledger and test matrix
CTTemplate		proxmox	POST	/nodes/{node}/lxc/{vmid}/template	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1001	client/provider/cli tests; see coverage ledger and test matrix
CreateBackup		proxmox	POST	/nodes/{node}/vzdump	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1019	client/provider/cli tests; see coverage ledger and test matrix
RestoreVM		proxmox	POST	/nodes/{node}/qemu	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	yes	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1045	client/provider/cli tests; see coverage ledger and test matrix
GetBackupSchedules		proxmox	GET	/cluster/backup	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1070	client/provider/cli tests; see coverage ledger and test matrix
GetBackupSchedule		proxmox	GET	/cluster/backup/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1079	client/provider/cli tests; see coverage ledger and test matrix
CreateBackupSchedule		proxmox	POST	/cluster/backup	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1092	client/provider/cli tests; see coverage ledger and test matrix
UpdateBackupSchedule		proxmox	PUT	/cluster/backup/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1165	client/provider/cli tests; see coverage ledger and test matrix
DeleteBackupSchedule		proxmox	DELETE	/cluster/backup/{id}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1239	client/provider/cli tests; see coverage ledger and test matrix
DeleteContent		proxmox	DELETE	/nodes/{node}/storage/{storage}/content/{volumeID}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1407	client/provider/cli tests; see coverage ledger and test matrix
VMMigrate		proxmox	POST	/nodes/{node}/qemu/{vmid}/migrate	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1426	client/provider/cli tests; see coverage ledger and test matrix
CTMigrate		proxmox	POST	/nodes/{node}/lxc/{vmid}/migrate	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1450	client/provider/cli tests; see coverage ledger and test matrix
VMClone		proxmox	POST	/nodes/{node}/qemu/{vmid}/clone	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1471	client/provider/cli tests; see coverage ledger and test matrix
CTClone		proxmox	POST	/nodes/{node}/lxc/{vmid}/clone	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1498	client/provider/cli tests; see coverage ledger and test matrix
VMDiskResize		proxmox	PUT	/nodes/{node}/qemu/{vmid}/resize	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1525	client/provider/cli tests; see coverage ledger and test matrix
VMDiskMove		proxmox	POST	/nodes/{node}/qemu/{vmid}/move_disk	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	service_affecting_mutation	varies	no	yes	yes	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1550	client/provider/cli tests; see coverage ledger and test matrix
GetPools		proxmox	GET	/pools	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1575	client/provider/cli tests; see coverage ledger and test matrix
GetClusterLog		proxmox	GET	/cluster/log	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1584	client/provider/cli tests; see coverage ledger and test matrix
ApplyNodeNetwork		proxmox	PUT	/nodes/{node}/network	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	yes	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1596	client/provider/cli tests; see coverage ledger and test matrix
RevertNodeNetwork		proxmox	POST	/nodes/{node}/network	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	yes	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1610	client/provider/cli tests; see coverage ledger and test matrix
CreateFirewallRule		proxmox	POST	/cluster/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1621	client/provider/cli tests; see coverage ledger and test matrix
UpdateFirewallRule		proxmox	PUT	/cluster/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1637	client/provider/cli tests; see coverage ledger and test matrix
DeleteFirewallRule		proxmox	DELETE	/cluster/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1647	client/provider/cli tests; see coverage ledger and test matrix
CreateNodeFirewallRule		proxmox	POST	/nodes/{node}/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1656	client/provider/cli tests; see coverage ledger and test matrix
UpdateNodeFirewallRule		proxmox	PUT	/nodes/{node}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1676	client/provider/cli tests; see coverage ledger and test matrix
DeleteNodeFirewallRule		proxmox	DELETE	/nodes/{node}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1689	client/provider/cli tests; see coverage ledger and test matrix
CreateVMFirewallRule		proxmox	POST	/nodes/{node}/qemu/{vmid}/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1701	client/provider/cli tests; see coverage ledger and test matrix
UpdateVMFirewallRule		proxmox	PUT	/nodes/{node}/qemu/{vmid}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1724	client/provider/cli tests; see coverage ledger and test matrix
DeleteVMFirewallRule		proxmox	DELETE	/nodes/{node}/qemu/{vmid}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1740	client/provider/cli tests; see coverage ledger and test matrix
CreateCTFirewallRule		proxmox	POST	/nodes/{node}/lxc/{vmid}/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1755	client/provider/cli tests; see coverage ledger and test matrix
UpdateCTFirewallRule		proxmox	PUT	/nodes/{node}/lxc/{vmid}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1778	client/provider/cli tests; see coverage ledger and test matrix
DeleteCTFirewallRule		proxmox	DELETE	/nodes/{node}/lxc/{vmid}/firewall/rules/{pos}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1794	client/provider/cli tests; see coverage ledger and test matrix
CreateFirewallAlias		proxmox	POST	/cluster/firewall/aliases	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	host_or_cluster_impacting	varies	no	yes	possible	no	yes	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1809	client/provider/cli tests; see coverage ledger and test matrix
DeleteFirewallAlias		proxmox	DELETE	/cluster/firewall/aliases/{name}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:1826	client/provider/cli tests; see coverage ledger and test matrix
